Energy(KeV) X(cm) Y(cm) Z(cm) px py pz
62.0509 -0.028142 -0.142606 0.620042 7.61806 -35.3255 50.442
53.6636 -0.0688664 0.331697 0.553383 8.94535 11.8806 51.5617
42.3912 0.159976 0.213046 0.570058 -2.19431 7.29333 41.7014
57.9341 0.142826 0.0517912 0.592721 -1.41892 -23.5841 52.8974
65.1833 -0.199518 0.848069 0.480812 -13.0227 56.3092 30.1421
68.1769 -0.328343 0.307515 0.556782 -39.5393 11.7 54.294
55.481 0.943805 -0.405935 0.65705 43.551 -24.6851 23.9186
66.8112 0.272016 0.270099 0.56204 6.65837 24.1239 61.947
29.693 0.0439847 0.289134 0.559365 3.17269 4.66667 29.1519
42.2103 -0.0162181 0.242888 0.565864 -1.12434 3.48066 42.0515
39.2732 -0.334942 0.239111 0.566395 -8.45467 16.9488 34.404
32.754 0.116276 0.586825 0.517527 1.70707 23.0463 23.2115
59.7807 -0.0491076 0.164581 0.57687 16.0244 28.7105 49.9265
62.8494 0.138732 0.365823 0.548587 5.79772 31.2037 54.2472
70.7273 -1.76867 -0.664649 0.69341 -59.87 -31.1649 21.135
49.3503 0.363838 -0.0965948 0.613576 31.2933 -17.9834 33.6568
39.4126 0.016352 0.373858 0.547458 -8.32376 15.1788 35.4073
56.1083 0.230733 -0.450607 0.663329 25.7528 -38.8844 31.1919
53.7241 -0.227787 -0.284969 0.64005 -1.95023 -28.4209 45.5492
44.0469 0.0372053 0.386562 0.545672 10.6936 14.0981 40.3363
58.3457 0.131511 -0.38651 0.65432 4.75263 -47.341 33.7708
37.4251 0.267088 0.129843 0.581752 9.5989 0.437438 36.1705
55.0552 -0.425421 0.356358 0.549917 -29.8599 28.9299 36.0904
50.9349 0.309254 0.383569 0.546093 34.8718 24.0403 28.2911
47.1629 -0.041853 -0.158737 0.622309 -12.998 -31.0143 33.0681
60.2355 0.21143 -0.0823242 0.61157 31.6994 -26.6203 43.7588
31.2695 0.227804 0.197316 0.572269 11.5959 -5.9324 28.4275
40.7775 -0.112238 -0.330595 0.646462 -12.4835 -30.1422 24.4625
